num,id_me,id_Hafro,id_marina,species,morph,length_cm,weight_g,sex,mat,age,location
86,PC4247,,2062,B,PL,29.9,270,F,7,7,Mjoanes
87,PC4248,,2063,B,PL,26,180,F,7,7,Mjoanes
88,PC4249,,2064,B,PI,47,1150,F,7,11,Mjoanes
89,PC4250,,2065,B,PI,45,905,F,7,7,Mjoanes
90,PC4251,,2066,B,PI,42.9,945,F,7,8,Mjoanes
91,PC4252,,2067,B,PI,32.8,430,M,6,7,Mjoanes
92,PC4253,,2068,B,PI,31,360,F,6,7,Mjoanes
93,PC4254,,2069,B,PI,31.5,340,F,7,10,Mjoanes
94,PC4255,,2070,B,PI,34.4,375,F,7,7,Mjoanes
95,PC4256,,2071,B,PI,28.9,265,M,6,8,Mjoanes
96,PC4257,,2072,B,PI,29.6,265,M,5,7,Mjoanes
97,PC4258,,2073,B,PI,30,240,F,7,8,Mjoanes
98,PC4259,,2074,B,SB,29.4,265,F,7,5,Mjoanes
99,PC4260,,2075,B,PL,24,160,M,3,6,Mjoanes
100,PC4261,,2076,B,PL,25.8,155,F,7,7,Mjoanes
101,PC4263,,2078,B,PL,26.4,185,F,7,8,Mjoanes
102,PC4264,,2079,B,PL,22,125,M,5,6,Mjoanes
103,PC4266,,2081,B,PL,25,160,F,7,7,Mjoanes
104,PC4267,,2082,B,PL,27.1,200,F,7,11,Mjoanes
105,PC4268,,2083,B,SB,22,98.33,F,2,6,Mjoanes
106,PC4269,,2084,B,SB,22.5,113.25,M,6,8,Mjoanes
107,PC4270,,2085,B,SB,21.9,111.02,F,7,7,Mjoanes
108,PC4271,,2086,B,SB,20.2,82.76,F,2,5,Mjoanes
109,PC4272,,2087,B,SB,19.6,78.88,F,2,6,Mjoanes
110,PC4273,,2088,B,SB,20.6,100.88,F,7,6,Mjoanes
111,PC4274,,2089,B,SB,19,77.67,F,7,6,Mjoanes
112,PC4275,,2090,B,SB,18.6,70.99,F,2,8,Mjoanes
113,PC4276,,2091,B,SB,17.8,73.1,F,7,5,Mjoanes
114,PC4277,,2092,B,SB,18.9,78.02,F,2,7,Mjoanes
115,PC4278,,2093,B,SB,19.1,84.33,F,7,6,Mjoanes
116,PC4279,,2094,B,SB,20.5,82.97,M,7,11,Mjoanes
117,PC4280,,2095,B,SB,19,75.13,M,6,7,Mjoanes
118,PC4281,,2096,B,SB,13,19,F,7,6,Mjoanes
119,PC4282,,2097,B,SB,20,80.29,M,5,6,Mjoanes
120,PC4283,,2098,B,SB,16,44.21,F,7,6,Mjoanes
121,PC4284,,2099,B,SB,18.5,75.44,F,7,5,Mjoanes
122,PC4285,,2100,B,SB,17.5,67.88,F,7,10,Mjoanes
123,PC4286,,2101,B,SB,15.9,43.82,NA,NA,4,Mjoanes
124,PC4287,,2102,B,SB,14,28.88,F,7,4,Mjoanes
125,PC4288,,2103,B,SB,11.8,23.27,F,7,4,Mjoanes
126,PC4290,,2105,B,SB,13,21.38,F,7,NA,Mjoanes
127,PC4291,,2106,B,SB,12.5,16.71,M,3,4,Mjoanes
128,PC4292,,2107,B,SB,10.6,12.42,F,7,6,Mjoanes
129,PC4293,,2108,B,SB,12.4,17.9,M,6,6,Mjoanes
130,PC4294,,2109,B,SB,12.1,18.33,M,7,6,Mjoanes
131,PC4295,,2110,B,SB,12.9,26.57,M,7,4,Mjoanes
132,PC4296,,2111,B,SB,13.5,24.9,NA,NA,4,Mjoanes
133,PC4297,,2112,B,SB,11.1,14.46,F,7,4,Mjoanes
134,PC4298,,2113,B,SB,10.9,15.75,F,7,5,Mjoanes
135,PC4299,,2114,B,SB,11.5,15.88,M,7,4,Mjoanes
136,PC4300,,2115,B,SB,10.9,13.76,M,7,3,Mjoanes
137,PC4308,,,B,LB,50.1,1195,M,6,9,Olafsdrattur
138,PC4309,,,B,LB,52.1,1420,M,7,15,Olafsdrattur
139,PC4310,,,B,LB,38.8,610,M,7,9,Olafsdrattur
140,PC4311,,,B,LB,44,995,F,7,9,Olafsdrattur
141,PC4312,,,B,LB,42.6,1080,F,7,8,Olafsdrattur
142,PC4313,,,B,LB,38.2,700,M,7,5,Olafsdrattur
143,PC4314,,,B,LB,45.1,1135,M,7,13,Olafsdrattur
144,PC4315,,,B,LB,49,1565,M,7,11,Olafsdrattur
145,PC4316,,,B,LB,49.8,1370,M,7,12,Olafsdrattur
146,PC4317,,,B,LB,43.8,1030,F,7,6,Olafsdrattur
147,PC4318,,,B,LB,36.3,545,M,7,8,Olafsdrattur
148,PC4319,,,B,LB,47.4,1085,F,7,8,Olafsdrattur
149,PC4320,,,B,LB,32.9,385,M,7,6,Olafsdrattur
150,PC4321,,,B,LB,30.8,320,M,7,7,Olafsdrattur
151,PC4322,,,B,LB,41.4,980,M,7,8,Olafsdrattur
152,PC4323,,,B,LB,41.7,920,F,7,8,Olafsdrattur
153,PC4324,,,B,LB,44,1040,M,7,9,Olafsdrattur
154,PC4325,,,B,LB,34,400,M,7,8,Olafsdrattur
155,PC4326,,,B,LB,39.9,780,M,7,8,Olafsdrattur
156,PC4327,,,B,LB,53,1935,M,7,9,Olafsdrattur
157,PC4328,,,B,LB,41.2,780,M,7,8,Olafsdrattur
158,PC4329,,,B,LB,35.4,670,M,7,7,Olafsdrattur
159,PC4330,,,B,LB,41.9,925,M,7,7,Olafsdrattur
160,PC4331,,,B,LB,40.8,800,F,7,11,Olafsdrattur
161,PC4332,,,B,LB,30.3,330,M,7,7,Olafsdrattur
162,PC4333,,,B,LB,43,830,M,7,7,Olafsdrattur
163,PC4334,,,B,LB,44,960,F,7,8,Olafsdrattur
164,PC4349,,,B,PL,25.2,119.64,F,7,7,Svinnanes
165,PC4350,,,B,PL,17.4,38.03,M,7,6,Svinnanes
166,PC4351,,,B,PL,19,54.31,M,7,6,Svinnanes
