num,id_me,id_Hafro,id_marina,species,morph,length_cm,weight_g,sex,mat,age,location,old_image_name,new_image_name
26,PC3929,,2027,B,SB,13.3,26.92,M,5,5,Olafsdrattur,GOJfall20_max_PC3929_01.JPG,CFAC_20_MAX_PC3929_01.JPG
27,PC3931,,2029,B,SB,11.8,16.33,F,2,5,Olafsdrattur,GOJfall20_max_PC3931_01.JPG,CFAC_20_MAX_PC3931_01.JPG
28,PC3932,,2030,B,SB,11.5,15.13,M,5,5,Olafsdrattur,GOJfall20_max_PC3932_01.JPG,CFAC_20_MAX_PC3932_01.JPG
29,PC3934,,2032,B,SB,11.1,14.32,M,5,4,Olafsdrattur,GOJfall20_max_PC3934_01.JPG,CFAC_20_MAX_PC3934_01.JPG
30,PC3935,,2033,B,SB,10.4,11.87,M,1/2?,4,Olafsdrattur,GOJfall20_max_PC3935_01.JPG,CFAC_20_MAX_PC3935_01.JPG
31,PC4301,,2147,B,PI,25,181.84,M,6,8,Mjoanes,GOJfall20_max_PC4301_01.JPG,CFAC_20_MAX_PC4301_01.JPG
32,PC4302,,2162,B,PI,24.9,161.8,M,6,7,Mjoanes,GOJfall20_max_PC4302_01.JPG,CFAC_20_MAX_PC4302_01.JPG
33,PC4303,,2169,B,PI,23.7,141.58,M,6,NA,Mjoanes,GOJfall20_max_PC4303_01.JPG,CFAC_20_MAX_PC4303_01.JPG
34,PC4305,,2186,B,LB,37.1,543.07,M,7,6,Mjoanes,GOJfall20_max_PC4305_01.JPG,CFAC_20_MAX_PC4305_01.JPG
35,PC4306,,2187,B,LB,34.2,550,M,7,6,Mjoanes,GOJfall20_max_PC4306_01.JPG,CFAC_20_MAX_PC4306_01.JPG
36,PC4307,,2188,B,LB,50,1000,M,7,8,Mjoanes,GOJfall20_max_PC4307_01.JPG,CFAC_20_MAX_PC4307_01.JPG
37,PC3831,KBL1,,B,LB,42.5,1061,F,2,8,Ofugsnaði,GOJfall20_max_PC3831_01.JPG,CFAC_20_MAX_PC3831_01.JPG
38,PC3834,M3,,B,PL,15.6,37,M,4,5,Ofugsnaði,GOJfall20_max_PC3834_01.JPG,CFAC_20_MAX_PC3834_01.JPG
39,PC3839,SBL2,,B,PI,42.8,1131,M,4,9,Ofugsnaði,GOJfall20_max_PC3839_01.JPG,CFAC_20_MAX_PC3839_01.JPG
40,PC3840,KBL8,,B,LB,37.1,672,M,4,7,Ofugsnaði,GOJfall20_max_PC3840_01.JPG,CFAC_20_MAX_PC3840_01.JPG
41,PC3841,SBL4,,B,PI,49.5,1714,M,4,9,Ofugsnaði,GOJfall20_max_PC3841_01.JPG,CFAC_20_MAX_PC3841_01.JPG
42,PC3842,KBL10,,B,LB,42,1010,M,4,8,Ofugsnaði,GOJfall20_max_PC3842_01.JPG,CFAC_20_MAX_PC3842_01.JPG
43,PC3843,KBL11,,B,LB,40.7,815,M,6,9,Ofugsnaði,GOJfall20_max_PC3843_01.JPG,CFAC_20_MAX_PC3843_01.JPG
44,PC3844,KBL12,,B,LB,34.7,504,M,4,7,Ofugsnaði,GOJfall20_max_PC3844_01.JPG,CFAC_20_MAX_PC3844_01.JPG
45,PC3845,SBL6,,B,PI,46.9,1455,M,6,11,Ofugsnaði,GOJfall20_max_PC3845_01.JPG,CFAC_20_MAX_PC3845_01.JPG
46,PC3846,SBL7,,B,PI,43,990,M,6,9,Ofugsnaði,GOJfall20_max_PC3846_01.JPG,CFAC_20_MAX_PC3846_01.JPG
47,PC3847,SBL9,,B,PI,36.7,655,M,5,8,Ofugsnaði,GOJfall20_max_PC3847_01.JPG,CFAC_20_MAX_PC3847_01.JPG
48,PC3848,SBL8,,B,PI,41.2,1001,M,6,9,Ofugsnaði,GOJfall20_max_PC3848_01.JPG,CFAC_20_MAX_PC3848_01.JPG
49,PC3849,KBL14,,B,LB,33.8,362,F,7.2,7,Ofugsnaði,GOJfall20_max_PC3849_01.JPG,CFAC_20_MAX_PC3849_01.JPG
50,PC3851,M6,,B,PL,22.3,130,M,5,9,Ofugsnaði,GOJfall20_max_PC3851_01.JPG,CFAC_20_MAX_PC3851_01.JPG
51,PC3855,M8,,B,PL,19.4,74,M,4,5,Ofugsnaði,GOJfall20_max_PC3855_01.JPG,CFAC_20_MAX_PC3855_01.JPG
52,PC3859,M12,,B,PL,14.8,36,M,4,5,Ofugsnaði,GOJfall20_max_PC3859_01.JPG,CFAC_20_MAX_PC3859_01.JPG
53,PC3863,M17,,B,PL,14,33,M,4,4,Ofugsnaði,GOJfall20_max_PC3863_01.JPG,CFAC_20_MAX_PC3863_01.JPG
54,PC3864,SBL10,,B,PI,45,1078,M,6,9,Ofugsnaði,GOJfall20_max_PC3864_01.JPG,CFAC_20_MAX_PC3864_01.JPG
55,PC3865,SBL11,,B,PI,24.5,162,M,6,7,Ofugsnaði,GOJfall20_max_PC3865_01.JPG,CFAC_20_MAX_PC3865_01.JPG
56,PC3867,KBL16,,B,LB,24.5,145,F,7.2,NA,Ofugsnaði,GOJfall20_max_PC3867_01.JPG,CFAC_20_MAX_PC3867_01.JPG
57,PC3868,KBL17,,B,LB,34.2,430,F,7.2,6,Ofugsnaði,GOJfall20_max_PC3868_01.JPG,CFAC_20_MAX_PC3868_01.JPG
58,PC3870,M21,,B,PL,20.5,81,F,5,7,Ofugsnaði,GOJfall20_max_PC3870_01.JPG,CFAC_20_MAX_PC3870_01.JPG
59,PC3873,M27,,B,PL,18.5,65,M,4,5,Ofugsnaði,GOJfall20_max_PC3873_01.JPG,CFAC_20_MAX_PC3873_01.JPG
60,PC3875,M29,,B,PL,21,103,M,4,5,Ofugsnaði,GOJfall20_max_PC3875_01.JPG,CFAC_20_MAX_PC3875_01.JPG
61,PC3876,M30,,B,PL,18.8,74,F,5,5,Ofugsnaði,GOJfall20_max_PC3876_01.JPG,CFAC_20_MAX_PC3876_01.JPG
62,PC3885,M31,,B,PL,19.1,72,M,6,5,Ofugsnaði,GOJfall20_max_PC3885_01.JPG,CFAC_20_MAX_PC3885_01.JPG
63,PC3896,SBL14,,B,PI,32.8,420,M,6,7,Ofugsnaði,GOJfall20_max_PC3896_01.JPG,CFAC_20_MAX_PC3896_01.JPG
64,PC3898,SBL16,,B,PI,45.6,1246,M,6,10,Ofugsnaði,GOJfall20_max_PC3898_01.JPG,CFAC_20_MAX_PC3898_01.JPG
65,PC3899,KBL22,,B,LB,48.7,1420,F,6,9,Ofugsnaði,GOJfall20_max_PC3899_01.JPG,CFAC_20_MAX_PC3899_01.JPG
66,PC3900,SBL18,,B,PI,42.3,1091,F,5,8,Ofugsnaði,GOJfall20_max_PC3900_01.JPG,CFAC_20_MAX_PC3900_01.JPG
67,PC3901,SBL19,,B,PI,32.6,396,M,6,8,Ofugsnaði,GOJfall20_max_PC3901_01.JPG,CFAC_20_MAX_PC3901_01.JPG
68,PC3902,SBL21,,B,PI,57.3,2894,M,5,10,Ofugsnaði,GOJfall20_max_PC3902_01.JPG,CFAC_20_MAX_PC3902_01.JPG
69,PC4200,,,B,PL,12.3,22.18,M,6,5,Svinnanes,GOJfall20_max_PC4200_01.JPG,CFAC_20_MAX_PC4200_01.JPG
70,PC4201,,,B,PL,14,29.18,M,4,5,Svinnanes,GOJfall20_max_PC4201_01.JPG,CFAC_20_MAX_PC4201_01.JPG
71,PC4202,,,B,PL,13.7,31.74,M,5,5,Svinnanes,GOJfall20_max_PC4202_01.JPG,CFAC_20_MAX_PC4202_01.JPG
72,PC4203,,,B,PL,15,38.61,M,7,5,Svinnanes,GOJfall20_max_PC4203_01.JPG,CFAC_20_MAX_PC4203_01.JPG
73,PC4204,,,B,PL,13.4,26.01,M,5,5,Svinnanes,GOJfall20_max_PC4204_01.JPG,CFAC_20_MAX_PC4204_01.JPG
74,PC4205,,,B,PL,13.6,29.49,M,4,4,Svinnanes,GOJfall20_max_PC4205_01.JPG,CFAC_20_MAX_PC4205_01.JPG
75,PC4206,,,B,PL,13.3,25.06,M,6,4,Svinnanes,GOJfall20_max_PC4206_01.JPG,CFAC_20_MAX_PC4206_01.JPG
76,PC4208,,,B,PL,14.7,37.35,M,6,4,Svinnanes,GOJfall20_max_PC4208_01.JPG,CFAC_20_MAX_PC4208_01.JPG
77,PC4210,,,B,PL,17,52.56,M,6,5,Svinnanes,GOJfall20_max_PC4210_01.JPG,CFAC_20_MAX_PC4210_01.JPG
78,PC4211,,,B,PL,15.6,39.25,M,5,4,Svinnanes,GOJfall20_max_PC4211_01.JPG,CFAC_20_MAX_PC4211_01.JPG
79,PC4212,,,B,PL,13.4,25.34,M,5,5,Svinnanes,GOJfall20_max_PC4212_01.JPG,CFAC_20_MAX_PC4212_01.JPG
80,PC4213,,,B,PL,14.4,33.98,M,6,4,Svinnanes,GOJfall20_max_PC4213_01.JPG,CFAC_20_MAX_PC4213_01.JPG
81,PC4214,,,B,PL,12,20.83,M,6,5,Svinnanes,GOJfall20_max_PC4214_01.JPG,CFAC_20_MAX_PC4214_01.JPG
82,PC4216,,,B,PL,16.1,48.79,M,6,4,Svinnanes,GOJfall20_max_PC4216_01.JPG,CFAC_20_MAX_PC4216_01.JPG
83,PC4217,,,B,PL,15.2,42.11,M,5,5,Svinnanes,GOJfall20_max_PC4217_01.JPG,CFAC_20_MAX_PC4217_01.JPG
84,PC4218,,,B,PL,17.5,61.78,M,6,5,Svinnanes,GOJfall20_max_PC4218_01.JPG,CFAC_20_MAX_PC4218_01.JPG
85,PC4219,,2034,B,SB,10.5,20.71,M,6,4,Mjoanes,GOJfall20_max_PC4219_01.JPG,CFAC_20_MAX_PC4219_01.JPG
86,PC4220,,2035,B,SB,14.2,21.42,M,6,3,Mjoanes,GOJfall20_max_PC4220_01.JPG,CFAC_20_MAX_PC4220_01.JPG
87,PC4221,,2037,B,SB,20.8,102.75,F,4,6,Mjoanes,GOJfall20_max_PC4221_01.JPG,CFAC_20_MAX_PC4221_01.JPG
88,PC4222,,2038,B,SB,14.1,32.86,M,6,8,Mjoanes,GOJfall20_max_PC4222_01.JPG,CFAC_20_MAX_PC4222_01.JPG
89,PC4223,,2039,B,SB,14.3,31.8,F,7/6?,8,Mjoanes,GOJfall20_max_PC4223_01.JPG,CFAC_20_MAX_PC4223_01.JPG
90,PC4225,,2041,B,SB,16,44.77,F,6,4,Mjoanes,GOJfall20_max_PC4225_01.JPG,CFAC_20_MAX_PC4225_01.JPG
91,PC4226,,2042,B,SB,11.9,14.48,F,7,5,Mjoanes,GOJfall20_max_PC4226_01.JPG,CFAC_20_MAX_PC4226_01.JPG
92,PC4227,,2043,B,SB,13.6,27.99,M,6,5,Mjoanes,GOJfall20_max_PC4227_01.JPG,CFAC_20_MAX_PC4227_01.JPG
93,PC4228,,2044,B,SB,20.2,103.34,F,7?,6,Mjoanes,GOJfall20_max_PC4228_01.JPG,CFAC_20_MAX_PC4228_01.JPG
94,PC4229,,2045,B,SB,17,71.77,F,5,8,Mjoanes,GOJfall20_max_PC4229_01.JPG,CFAC_20_MAX_PC4229_01.JPG
95,PC4230,,2046,B,SB,14.2,32.22,F,5,6,Mjoanes,GOJfall20_max_PC4230_01.JPG,CFAC_20_MAX_PC4230_01.JPG
96,PC4231,,2047,B,PL,14.3,27.2,M,6,6,Mjoanes,GOJfall20_max_PC4231_01.JPG,CFAC_20_MAX_PC4231_01.JPG
97,PC4232,,2048,B,SB,24.2,147.58,F,7,6,Mjoanes,GOJfall20_max_PC4232_01.JPG,CFAC_20_MAX_PC4232_01.JPG
98,PC4233,,2049,B,SB,11,15.55,M,6,12,Mjoanes,GOJfall20_max_PC4233_01.JPG,CFAC_20_MAX_PC4233_01.JPG
99,PC4235,,2036,B,SB,13.4,24.9,F,7/6?,5,Mjoanes,GOJfall20_max_PC4235_01.JPG,CFAC_20_MAX_PC4235_01.JPG
100,PC4236,,2051,B,LB,50,1430,F,7,8,Mjoanes,GOJfall20_max_PC4236_01.JPG,CFAC_20_MAX_PC4236_01.JPG
101,PC4237,,2052,B,PI,43.2,980,F,7,12,Mjoanes,GOJfall20_max_PC4237_01.JPG,CFAC_20_MAX_PC4237_01.JPG
102,PC4238,,2053,B,PI,50,1795,M,6,8,Mjoanes,GOJfall20_max_PC4238_01.JPG,CFAC_20_MAX_PC4238_01.JPG
103,PC4239,,2054,B,LB,43.4,995,M,7,8,Mjoanes,GOJfall20_max_PC4239_01.JPG,CFAC_20_MAX_PC4239_01.JPG
104,PC4240,,2055,B,PI,41,780,F,7,9,Mjoanes,GOJfall20_max_PC4240_01.JPG,CFAC_20_MAX_PC4240_01.JPG
105,PC4241,,2056,B,PI,35.6,490,F,7,12,Mjoanes,GOJfall20_max_PC4241_01.JPG,CFAC_20_MAX_PC4241_01.JPG
106,PC4242,,2057,B,PI,33,425,M,5,9,Mjoanes,GOJfall20_max_PC4242_01.JPG,CFAC_20_MAX_PC4242_01.JPG
107,PC4243,,2058,B,PI,36,565,M,6,12,Mjoanes,GOJfall20_max_PC4243_01.JPG,CFAC_20_MAX_PC4243_01.JPG
108,PC4244,,2059,B,LB,32,345,M,5,4,Mjoanes,GOJfall20_max_PC4244_01.JPG,CFAC_20_MAX_PC4244_01.JPG
109,PC4245,,2060,B,PI,27.2,245,M,5,12,Mjoanes,GOJfall20_max_PC4245_01.JPG,CFAC_20_MAX_PC4245_01.JPG
110,PC4246,,2061,B,SB,29.7,285,F,7?,5,Mjoanes,GOJfall20_max_PC4246_01.JPG,CFAC_20_MAX_PC4246_01.JPG
111,PC4247,,2062,B,PL,29.9,270,F,7,7,Mjoanes,GOJfall20_max_PC4247_01.JPG,CFAC_20_MAX_PC4247_01.JPG
112,PC4248,,2063,B,PL,26,180,F,7,7,Mjoanes,GOJfall20_max_PC4248_01.JPG,CFAC_20_MAX_PC4248_01.JPG
113,PC4249,,2064,B,PI,47,1150,F,7,11,Mjoanes,GOJfall20_max_PC4249_01.JPG,CFAC_20_MAX_PC4249_01.JPG
114,PC4250,,2065,B,PI,45,905,F,7,7,Mjoanes,GOJfall20_max_PC4250_01.JPG,CFAC_20_MAX_PC4250_01.JPG
115,PC4251,,2066,B,PI,42.9,945,F,7,8,Mjoanes,GOJfall20_max_PC4251_01.JPG,CFAC_20_MAX_PC4251_01.JPG
116,PC4252,,2067,B,PI,32.8,430,M,6,7,Mjoanes,GOJfall20_max_PC4252_01.JPG,CFAC_20_MAX_PC4252_01.JPG
117,PC4253,,2068,B,PI,31,360,F,6,7,Mjoanes,GOJfall20_max_PC4253_01.JPG,CFAC_20_MAX_PC4253_01.JPG
118,PC4254,,2069,B,PI,31.5,340,F,7,10,Mjoanes,GOJfall20_max_PC4254_01.JPG,CFAC_20_MAX_PC4254_01.JPG
119,PC4255,,2070,B,PI,34.4,375,F,7,7,Mjoanes,GOJfall20_max_PC4255_01.JPG,CFAC_20_MAX_PC4255_01.JPG
120,PC4256,,2071,B,PI,28.9,265,M,6,8,Mjoanes,GOJfall20_max_PC4256_01.JPG,CFAC_20_MAX_PC4256_01.JPG
121,PC4257,,2072,B,PI,29.6,265,M,5,7,Mjoanes,GOJfall20_max_PC4257_01.JPG,CFAC_20_MAX_PC4257_01.JPG
122,PC4258,,2073,B,PI,30,240,F,7,8,Mjoanes,GOJfall20_max_PC4258_01.JPG,CFAC_20_MAX_PC4258_01.JPG
123,PC4259,,2074,B,SB,29.4,265,F,7,5,Mjoanes,GOJfall20_max_PC4259_01.JPG,CFAC_20_MAX_PC4259_01.JPG
124,PC4260,,2075,B,PL,24,160,M,3,6,Mjoanes,GOJfall20_max_PC4260_01.JPG,CFAC_20_MAX_PC4260_01.JPG
125,PC4263,,2078,B,PL,26.4,185,F,7,8,Mjoanes,GOJfall20_max_PC4263_01.JPG,CFAC_20_MAX_PC4263_01.JPG
126,PC4264,,2079,B,PL,22,125,M,5,6,Mjoanes,GOJfall20_max_PC4264_01.JPG,CFAC_20_MAX_PC4264_01.JPG
127,PC4266,,2081,B,PL,25,160,F,7,7,Mjoanes,GOJfall20_max_PC4266_01.JPG,CFAC_20_MAX_PC4266_01.JPG
128,PC4267,,2082,B,PL,27.1,200,F,7,11,Mjoanes,GOJfall20_max_PC4267_01.JPG,CFAC_20_MAX_PC4267_01.JPG
129,PC4268,,2083,B,SB,22,98.33,F,2,6,Mjoanes,GOJfall20_max_PC4268_01.JPG,CFAC_20_MAX_PC4268_01.JPG
130,PC4269,,2084,B,SB,22.5,113.25,M,6,8,Mjoanes,GOJfall20_max_PC4269_01.JPG,CFAC_20_MAX_PC4269_01.JPG
131,PC4270,,2085,B,SB,21.9,111.02,F,7,7,Mjoanes,GOJfall20_max_PC4270_01.JPG,CFAC_20_MAX_PC4270_01.JPG
132,PC4271,,2086,B,SB,20.2,82.76,F,2,5,Mjoanes,GOJfall20_max_PC4271_01.JPG,CFAC_20_MAX_PC4271_01.JPG
133,PC4272,,2087,B,SB,19.6,78.88,F,2,6,Mjoanes,GOJfall20_max_PC4272_01.JPG,CFAC_20_MAX_PC4272_01.JPG
134,PC4273,,2088,B,SB,20.6,100.88,F,7,6,Mjoanes,GOJfall20_max_PC4273_01.JPG,CFAC_20_MAX_PC4273_01.JPG
135,PC4274,,2089,B,SB,19,77.67,F,7,6,Mjoanes,GOJfall20_max_PC4274_01.JPG,CFAC_20_MAX_PC4274_01.JPG
136,PC4275,,2090,B,SB,18.6,70.99,F,2,8,Mjoanes,GOJfall20_max_PC4275_01.JPG,CFAC_20_MAX_PC4275_01.JPG
137,PC4276,,2091,B,SB,17.8,73.1,F,7,5,Mjoanes,GOJfall20_max_PC4276_01.JPG,CFAC_20_MAX_PC4276_01.JPG
138,PC4277,,2092,B,SB,18.9,78.02,F,2,7,Mjoanes,GOJfall20_max_PC4277_01.JPG,CFAC_20_MAX_PC4277_01.JPG
139,PC4278,,2093,B,SB,19.1,84.33,F,7,6,Mjoanes,GOJfall20_max_PC4278_01.JPG,CFAC_20_MAX_PC4278_01.JPG
140,PC4279,,2094,B,SB,20.5,82.97,M,7,11,Mjoanes,GOJfall20_max_PC4279_01.JPG,CFAC_20_MAX_PC4279_01.JPG
141,PC4280,,2095,B,SB,19,75.13,M,6,7,Mjoanes,GOJfall20_max_PC4280_01.JPG,CFAC_20_MAX_PC4280_01.JPG
142,PC4281,,2096,B,SB,13,19,F,7,6,Mjoanes,GOJfall20_max_PC4281_01.JPG,CFAC_20_MAX_PC4281_01.JPG
143,PC4282,,2097,B,SB,20,80.29,M,5,6,Mjoanes,GOJfall20_max_PC4282_01.JPG,CFAC_20_MAX_PC4282_01.JPG
144,PC4283,,2098,B,SB,16,44.21,F,7,6,Mjoanes,GOJfall20_max_PC4283_01.JPG,CFAC_20_MAX_PC4283_01.JPG
145,PC4284,,2099,B,SB,18.5,75.44,F,7,5,Mjoanes,GOJfall20_max_PC4284_01.JPG,CFAC_20_MAX_PC4284_01.JPG
146,PC4285,,2100,B,SB,17.5,67.88,F,7,10,Mjoanes,GOJfall20_max_PC4285_01.JPG,CFAC_20_MAX_PC4285_01.JPG
147,PC4286,,2101,B,SB,15.9,43.82,NA,NA,4,Mjoanes,GOJfall20_max_PC4286_01.JPG,CFAC_20_MAX_PC4286_01.JPG
148,PC4287,,2102,B,SB,14,28.88,F,7,4,Mjoanes,GOJfall20_max_PC4287_01.JPG,CFAC_20_MAX_PC4287_01.JPG
149,PC4288,,2103,B,SB,11.8,23.27,F,7,4,Mjoanes,GOJfall20_max_PC4288_01.JPG,CFAC_20_MAX_PC4288_01.JPG
150,PC4290,,2105,B,SB,13,21.38,F,7,NA,Mjoanes,GOJfall20_max_PC4290_01.JPG,CFAC_20_MAX_PC4290_01.JPG
151,PC4291,,2106,B,SB,12.5,16.71,M,3,4,Mjoanes,GOJfall20_max_PC4291_01.JPG,CFAC_20_MAX_PC4291_01.JPG
152,PC4292,,2107,B,SB,10.6,12.42,F,7,6,Mjoanes,GOJfall20_max_PC4292_01.JPG,CFAC_20_MAX_PC4292_01.JPG
153,PC4293,,2108,B,SB,12.4,17.9,M,6,6,Mjoanes,GOJfall20_max_PC4293_01.JPG,CFAC_20_MAX_PC4293_01.JPG
154,PC4294,,2109,B,SB,12.1,18.33,M,7,6,Mjoanes,GOJfall20_max_PC4294_01.JPG,CFAC_20_MAX_PC4294_01.JPG
155,PC4295,,2110,B,SB,12.9,26.57,M,7,4,Mjoanes,GOJfall20_max_PC4295_01.JPG,CFAC_20_MAX_PC4295_01.JPG
156,PC4296,,2111,B,SB,13.5,24.9,NA,NA,4,Mjoanes,GOJfall20_max_PC4296_01.JPG,CFAC_20_MAX_PC4296_01.JPG
157,PC4297,,2112,B,SB,11.1,14.46,F,7,4,Mjoanes,GOJfall20_max_PC4297_01.JPG,CFAC_20_MAX_PC4297_01.JPG
158,PC4298,,2113,B,SB,10.9,15.75,F,7,5,Mjoanes,GOJfall20_max_PC4298_01.JPG,CFAC_20_MAX_PC4298_01.JPG
159,PC4299,,2114,B,SB,11.5,15.88,M,7,4,Mjoanes,GOJfall20_max_PC4299_01.JPG,CFAC_20_MAX_PC4299_01.JPG
160,PC4300,,2115,B,SB,10.9,13.76,M,7,3,Mjoanes,GOJfall20_max_PC4300_01.JPG,CFAC_20_MAX_PC4300_01.JPG
161,PC4308,,,B,LB,50.1,1195,M,6,9,Olafsdrattur,GOJfall20_max_PC4308_01.JPG,CFAC_21_MAX_PC4308_01.JPG
162,PC4309,,,B,LB,52.1,1420,M,7,15,Olafsdrattur,GOJfall20_max_PC4309_01.JPG,CFAC_21_MAX_PC4309_01.JPG
163,PC4310,,,B,LB,38.8,610,M,7,9,Olafsdrattur,GOJfall20_max_PC4310_01.JPG,CFAC_21_MAX_PC4310_01.JPG
164,PC4311,,,B,LB,44,995,F,7,9,Olafsdrattur,GOJfall20_max_PC4311_01.JPG,CFAC_21_MAX_PC4311_01.JPG
165,PC4312,,,B,LB,42.6,1080,F,7,8,Olafsdrattur,GOJfall20_max_PC4312_01.JPG,CFAC_21_MAX_PC4312_01.JPG
166,PC4313,,,B,LB,38.2,700,M,7,5,Olafsdrattur,GOJfall20_max_PC4313_01.JPG,CFAC_21_MAX_PC4313_01.JPG
167,PC4314,,,B,LB,45.1,1135,M,7,13,Olafsdrattur,GOJfall20_max_PC4314_01.JPG,CFAC_21_MAX_PC4314_01.JPG
168,PC4315,,,B,LB,49,1565,M,7,11,Olafsdrattur,GOJfall20_max_PC4315_01.JPG,CFAC_21_MAX_PC4315_01.JPG
169,PC4316,,,B,LB,49.8,1370,M,7,12,Olafsdrattur,GOJfall20_max_PC4316_01.JPG,CFAC_21_MAX_PC4316_01.JPG
170,PC4317,,,B,LB,43.8,1030,F,7,6,Olafsdrattur,GOJfall20_max_PC4317_01.JPG,CFAC_21_MAX_PC4317_01.JPG
171,PC4318,,,B,LB,36.3,545,M,7,8,Olafsdrattur,GOJfall20_max_PC4318_01.JPG,CFAC_21_MAX_PC4318_01.JPG
172,PC4319,,,B,LB,47.4,1085,F,7,8,Olafsdrattur,GOJfall20_max_PC4319_01.JPG,CFAC_21_MAX_PC4319_01.JPG
173,PC4320,,,B,LB,32.9,385,M,7,6,Olafsdrattur,GOJfall20_max_PC4320_01.JPG,CFAC_21_MAX_PC4320_01.JPG
174,PC4321,,,B,LB,30.8,320,M,7,7,Olafsdrattur,GOJfall20_max_PC4321_01.JPG,CFAC_21_MAX_PC4321_01.JPG
175,PC4322,,,B,LB,41.4,980,M,7,8,Olafsdrattur,GOJfall20_max_PC4322_01.JPG,CFAC_21_MAX_PC4322_01.JPG
176,PC4323,,,B,LB,41.7,920,F,7,8,Olafsdrattur,GOJfall20_max_PC4323_01.JPG,CFAC_21_MAX_PC4323_01.JPG
