num,id_me,id_Hafró,id_marina,species,morph,length_cm,weight_g,sex,mat,age,location,old_image_name,new_image_name
40,PC4200,,,B,PL,12.3,22.18,M,6,5,Svinnanes,GOJfall20_body_PC4200.JPG,CFAC_20_EXT_PC4200_01.JPG
41,PC4201,,,B,PL,14,29.18,M,4,5,Svinnanes,GOJfall20_body_PC4201.JPG,CFAC_20_EXT_PC4201_01.JPG
42,PC4202,,,B,PL,13.7,31.74,M,5,5,Svinnanes,GOJfall20_body_PC4202.JPG,CFAC_20_EXT_PC4202_01.JPG
43,PC4203,,,B,PL,15,38.61,M,7,5,Svinnanes,GOJfall20_body_PC4203.JPG,CFAC_20_EXT_PC4203_01.JPG
44,PC4204,,,B,PL,13.4,26.01,M,5,5,Svinnanes,GOJfall20_body_PC4204.JPG,CFAC_20_EXT_PC4204_01.JPG
45,PC4205,,,B,PL,13.6,29.49,M,4,4,Svinnanes,GOJfall20_body_PC4205_1.JPG,CFAC_20_EXT_PC4205_01.JPG
46,PC4206,,,B,PL,13.3,25.06,M,6,4,Svinnanes,GOJfall20_body_PC4206.JPG,CFAC_20_EXT_PC4206_01.JPG
47,PC4207,,,B,PL,13.6,29.32,M,6,4,Svinnanes,GOJfall20_body_PC4207.JPG,CFAC_20_EXT_PC4207_01.JPG
48,PC4208,,,B,PL,14.7,37.35,M,6,4,Svinnanes,GOJfall20_body_PC4208.JPG,CFAC_20_EXT_PC4208_01.JPG
49,PC4209,,,B,PL,14,30.39,M,6,NA,Svinnanes,GOJfall20_body_PC4209.JPG,CFAC_20_EXT_PC4209_01.JPG
50,PC4210,,,B,PL,17,52.56,M,6,5,Svinnanes,GOJfall20_body_PC4210.JPG,CFAC_20_EXT_PC4210_01.JPG
51,PC4211,,,B,PL,15.6,39.25,M,5,4,Svinnanes,GOJfall20_body_PC4211.JPG,CFAC_20_EXT_PC4211_01.JPG
52,PC4212,,,B,PL,13.4,25.34,M,5,5,Svinnanes,GOJfall20_body_PC4212.JPG,CFAC_20_EXT_PC4212_01.JPG
53,PC4213,,,B,PL,14.4,33.98,M,6,4,Svinnanes,GOJfall20_body_PC4213_1.JPG,CFAC_20_EXT_PC4213_01.JPG
54,PC4214,,,B,PL,12,20.83,M,6,5,Svinnanes,GOJfall20_body_PC4214.JPG,CFAC_20_EXT_PC4214_01.JPG
55,PC4215,,,B,PL,17,51.2,M,6,5,Svinnanes,GOJfall20_body_PC4215.JPG,CFAC_20_EXT_PC4215_01.JPG
56,PC4216,,,B,PL,16.1,48.79,M,6,4,Svinnanes,GOJfall20_body_PC4216.JPG,CFAC_20_EXT_PC4216_01.JPG
57,PC4217,,,B,PL,15.2,42.11,M,5,5,Svinnanes,GOJfall20_body_PC4217.JPG,CFAC_20_EXT_PC4217_01.JPG
58,PC4218,,,B,PL,17.5,61.78,M,6,5,Svinnanes,GOJfall20_body_PC4218_1.JPG,CFAC_20_EXT_PC4218_01.JPG
59,PC4219,,2034,B,SB,10.5,20.71,M,6,4,Mjoanes,GOJfall20_body_PC4219.CR2.png,CFAC_20_EXT_PC4219_01.CR2.png
60,PC4220,,2035,B,SB,14.2,21.42,M,6,3,Mjoanes,GOJfall20_body_PC4220.CR2.png,CFAC_20_EXT_PC4220_01.CR2.png
61,PC4221,,2037,B,SB,20.8,102.75,F,4,6,Mjoanes,GOJfall20_body_PC4221.CR2.png,CFAC_20_EXT_PC4235_01.CR2.png
62,PC4222,,2038,B,SB,14.1,32.86,M,6,8,Mjoanes,GOJfall20_body_PC4222.CR2.png,CFAC_20_EXT_PC4221_01.CR2.png
63,PC4223,,2039,B,SB,14.3,31.8,F,7/6?,8,Mjoanes,GOJfall20_body_PC4223.CR2.png,CFAC_20_EXT_PC4222_01.CR2.png
64,PC4224,,2040,B,SB,14.5,34.05,M,6,5,Mjoanes,GOJfall20_body_PC4224.CR2.png,CFAC_20_EXT_PC4223_01.CR2.png
65,PC4225,,2041,B,SB,16,44.77,F,6,4,Mjoanes,GOJfall20_body_PC4225.CR2.png,CFAC_20_EXT_PC4224_01.CR2.png
66,PC4226,,2042,B,SB,11.9,14.48,F,7,5,Mjoanes,GOJfall20_body_PC4226.CR2.png,CFAC_20_EXT_PC4225_01.CR2.png
67,PC4227,,2043,B,SB,13.6,27.99,M,6,5,Mjoanes,GOJfall20_body_PC4227.CR2.png,CFAC_20_EXT_PC4226_01.CR2.png
68,PC4228,,2044,B,SB,20.2,103.34,F,7?,6,Mjoanes,GOJfall20_body_PC4228.CR2.png,CFAC_20_EXT_PC4227_01.CR2.png
69,PC4229,,2045,B,SB,17,71.77,F,5,8,Mjoanes,GOJfall20_body_PC4229.CR2.png,CFAC_20_EXT_PC4228_01.CR2.png
70,PC4230,,2046,B,SB,14.2,32.22,F,5,6,Mjoanes,GOJfall20_body_PC4230.CR2.png,CFAC_20_EXT_PC4229_01.CR2.png
71,PC4231,,2047,B,PL,14.3,27.2,M,6,6,Mjoanes,GOJfall20_body_PC4231.CR2.png,CFAC_20_EXT_PC4230_01.CR2.png
72,PC4232,,2048,B,SB,24.2,147.58,F,7,6,Mjoanes,GOJfall20_body_PC4232.CR2.png,CFAC_20_EXT_PC4231_01.CR2.png
73,PC4233,,2049,B,SB,11,15.55,M,6,12,Mjoanes,GOJfall20_body_PC4233.CR2.png,CFAC_20_EXT_PC4232_01.CR2.png
74,PC4235,,2036,B,SB,13.4,24.9,F,7/6?,5,Mjoanes,GOJfall20_body_PC4235.CR2.png,CFAC_20_EXT_PC4233_01.CR2.png
75,PC4236,,2051,B,LB,50,1430,F,7,8,Mjoanes,GOJfall20_body_PC4236.JPG,CFAC_20_EXT_PC4236_01.JPG
76,PC4237,,2052,B,PI,43.2,980,F,7,12,Mjoanes,GOJfall20_body_PC4237.JPG,CFAC_20_EXT_PC4237_01.JPG
77,PC4238,,2053,B,PI,50,1795,M,6,8,Mjoanes,GOJfall20_body_PC4238.JPG,CFAC_20_EXT_PC4238_01.JPG
78,PC4239,,2054,B,LB,43.4,995,M,7,8,Mjoanes,GOJfall20_body_PC4239.JPG,CFAC_20_EXT_PC4239_01.JPG
79,PC4240,,2055,B,PI,41,780,F,7,9,Mjoanes,GOJfall20_body_PC4240.JPG,CFAC_20_EXT_PC4240_01.JPG
80,PC4241,,2056,B,PI,35.6,490,F,7,12,Mjoanes,GOJfall20_body_PC4241.JPG,CFAC_20_EXT_PC4241_01.JPG
81,PC4242,,2057,B,PI,33,425,M,5,9,Mjoanes,GOJfall20_body_PC4242.JPG,CFAC_20_EXT_PC4242_01.JPG
82,PC4243,,2058,B,PI,36,565,M,6,12,Mjoanes,GOJfall20_body_PC4243.JPG,CFAC_20_EXT_PC4243_01.JPG
83,PC4244,,2059,B,LB,32,345,M,5,4,Mjoanes,GOJfall20_body_PC4244.JPG,CFAC_20_EXT_PC4244_01.JPG
84,PC4245,,2060,B,PI,27.2,245,M,5,12,Mjoanes,GOJfall20_body_PC4245.JPG,CFAC_20_EXT_PC4245_01.JPG
85,PC4246,,2061,B,SB,29.7,285,F,7?,5,Mjoanes,GOJfall20_body_PC4246.JPG,CFAC_20_EXT_PC4246_01.JPG
86,PC4247,,2062,B,PL,29.9,270,F,7,7,Mjoanes,GOJfall20_body_PC4247.JPG,CFAC_20_EXT_PC4247_01.JPG
87,PC4248,,2063,B,PL,26,180,F,7,7,Mjoanes,GOJfall20_body_PC4248.JPG,CFAC_20_EXT_PC4248_01.JPG
88,PC4249,,2064,B,PI,47,1150,F,7,11,Mjoanes,GOJfall20_body_PC4249.JPG,CFAC_20_EXT_PC4249_01.JPG
89,PC4250,,2065,B,PI,45,905,F,7,7,Mjoanes,GOJfall20_body_PC4250.JPG,CFAC_20_EXT_PC4250_01.JPG
90,PC4251,,2066,B,PI,42.9,945,F,7,8,Mjoanes,GOJfall20_body_PC4251.JPG,CFAC_20_EXT_PC4251_01.JPG
91,PC4252,,2067,B,PI,32.8,430,M,6,7,Mjoanes,GOJfall20_body_PC4252.JPG,CFAC_20_EXT_PC4252_01.JPG
92,PC4253,,2068,B,PI,31,360,F,6,7,Mjoanes,GOJfall20_body_PC4253.JPG,CFAC_20_EXT_PC4253_01.JPG
93,PC4254,,2069,B,PI,31.5,340,F,7,10,Mjoanes,GOJfall20_body_PC4254.JPG,CFAC_20_EXT_PC4254_01.JPG
94,PC4255,,2070,B,PI,34.4,375,F,7,7,Mjoanes,GOJfall20_body_PC4255.JPG,CFAC_20_EXT_PC4255_01.JPG
95,PC4256,,2071,B,PI,28.9,265,M,6,8,Mjoanes,GOJfall20_body_PC4256.JPG,CFAC_20_EXT_PC4256_01.JPG
96,PC4257,,2072,B,PI,29.6,265,M,5,7,Mjoanes,GOJfall20_body_PC4257.JPG,CFAC_20_EXT_PC4257_01.JPG
97,PC4258,,2073,B,PI,30,240,F,7,8,Mjoanes,GOJfall20_body_PC4258.JPG,CFAC_20_EXT_PC4258_01.JPG
98,PC4259,,2074,B,SB,29.4,265,F,7,5,Mjoanes,GOJfall20_body_PC4259.JPG,CFAC_20_EXT_PC4259_01.JPG
99,PC4260,,2075,B,PL,24,160,M,3,6,Mjoanes,GOJfall20_body_PC4260.JPG,CFAC_20_EXT_PC4260_01.JPG
100,PC4261,,2076,B,PL,25.8,155,F,7,7,Mjoanes,GOJfall20_body_PC4261_2.JPG,CFAC_20_EXT_PC4261_01.JPG
101,PC4263,,2078,B,PL,26.4,185,F,7,8,Mjoanes,GOJfall20_body_PC4263.JPG,CFAC_20_EXT_PC4263_01.JPG
102,PC4264,,2079,B,PL,22,125,M,5,6,Mjoanes,GOJfall20_body_PC4264.JPG,CFAC_20_EXT_PC4264_01.JPG
103,PC4266,,2081,B,PL,25,160,F,7,7,Mjoanes,GOJfall20_body_PC4266.JPG,CFAC_20_EXT_PC4266_01.JPG
104,PC4267,,2082,B,PL,27.1,200,F,7,11,Mjoanes,GOJfall20_body_PC4267.JPG,CFAC_20_EXT_PC4267_01.JPG
105,PC4268,,2083,B,SB,22,98.33,F,2,6,Mjoanes,GOJfall20_body_PC4268.JPG,CFAC_20_EXT_PC4268_01.JPG
106,PC4269,,2084,B,SB,22.5,113.25,M,6,8,Mjoanes,GOJfall20_body_PC4269.JPG,CFAC_20_EXT_PC4269_01.JPG
107,PC4270,,2085,B,SB,21.9,111.02,F,7,7,Mjoanes,GOJfall20_body_PC4270.JPG,CFAC_20_EXT_PC4270_01.JPG
108,PC4271,,2086,B,SB,20.2,82.76,F,2,5,Mjoanes,GOJfall20_body_PC4271.JPG,CFAC_20_EXT_PC4271_01.JPG
109,PC4272,,2087,B,SB,19.6,78.88,F,2,6,Mjoanes,GOJfall20_body_PC4272.JPG,CFAC_20_EXT_PC4272_01.JPG
110,PC4273,,2088,B,SB,20.6,100.88,F,7,6,Mjoanes,GOJfall20_body_PC4273.JPG,CFAC_20_EXT_PC4273_01.JPG
111,PC4274,,2089,B,SB,19,77.67,F,7,6,Mjoanes,GOJfall20_body_PC4274.JPG,CFAC_20_EXT_PC4274_01.JPG
112,PC4275,,2090,B,SB,18.6,70.99,F,2,8,Mjoanes,GOJfall20_body_PC4275.JPG,CFAC_20_EXT_PC4275_01.JPG
113,PC4276,,2091,B,SB,17.8,73.1,F,7,5,Mjoanes,GOJfall20_body_PC4276.JPG,CFAC_20_EXT_PC4276_01.JPG
114,PC4277,,2092,B,SB,18.9,78.02,F,2,7,Mjoanes,GOJfall20_body_PC4277.JPG,CFAC_20_EXT_PC4277_01.JPG
115,PC4278,,2093,B,SB,19.1,84.33,F,7,6,Mjoanes,GOJfall20_body_PC4278.JPG,CFAC_20_EXT_PC4278_01.JPG
116,PC4279,,2094,B,SB,20.5,82.97,M,7,11,Mjoanes,GOJfall20_body_PC4279.JPG,CFAC_20_EXT_PC4279_01.JPG
117,PC4280,,2095,B,SB,19,75.13,M,6,7,Mjoanes,GOJfall20_body_PC4280.JPG,CFAC_20_EXT_PC4280_01.JPG
118,PC4281,,2096,B,SB,13,19,F,7,6,Mjoanes,GOJfall20_body_PC4281.JPG,CFAC_20_EXT_PC4281_01.JPG
119,PC4282,,2097,B,SB,20,80.29,M,5,6,Mjoanes,GOJfall20_body_PC4282.JPG,CFAC_20_EXT_PC4282_01.JPG
120,PC4283,,2098,B,SB,16,44.21,F,7,6,Mjoanes,GOJfall20_body_PC4283_1.JPG,CFAC_20_EXT_PC4283_01.JPG
121,PC4284,,2099,B,SB,18.5,75.44,F,7,5,Mjoanes,GOJfall20_body_PC4284.JPG,CFAC_20_EXT_PC4284_01.JPG
122,PC4285,,2100,B,SB,17.5,67.88,F,7,10,Mjoanes,GOJfall20_body_PC4285.JPG,CFAC_20_EXT_PC4285_01.JPG
123,PC4286,,2101,B,SB,15.9,43.82,NA,NA,4,Mjoanes,GOJfall20_body_PC4286.JPG,CFAC_20_EXT_PC4286_01.JPG
124,PC4287,,2102,B,SB,14,28.88,F,7,4,Mjoanes,GOJfall20_body_PC4287.JPG,CFAC_20_EXT_PC4287_01.JPG
125,PC4288,,2103,B,SB,11.8,23.27,F,7,4,Mjoanes,GOJfall20_body_PC4288.JPG,CFAC_20_EXT_PC4288_01.JPG
126,PC4290,,2105,B,SB,13,21.38,F,7,NA,Mjoanes,GOJfall20_body_PC4290.JPG,CFAC_20_EXT_PC4290_01.JPG
127,PC4291,,2106,B,SB,12.5,16.71,M,3,4,Mjoanes,GOJfall20_body_PC4291.JPG,CFAC_20_EXT_PC4291_01.JPG
128,PC4292,,2107,B,SB,10.6,12.42,F,7,6,Mjoanes,GOJfall20_body_PC4292.JPG,CFAC_20_EXT_PC4292_01.JPG
129,PC4293,,2108,B,SB,12.4,17.9,M,6,6,Mjoanes,GOJfall20_body_PC4293.JPG,CFAC_20_EXT_PC4293_01.JPG
130,PC4294,,2109,B,SB,12.1,18.33,M,7,6,Mjoanes,GOJfall20_body_PC4294.JPG,CFAC_20_EXT_PC4294_01.JPG
131,PC4295,,2110,B,SB,12.9,26.57,M,7,4,Mjoanes,GOJfall20_body_PC4295.JPG,CFAC_20_EXT_PC4295_01.JPG
132,PC4296,,2111,B,SB,13.5,24.9,NA,NA,4,Mjoanes,GOJfall20_body_PC4296.JPG,CFAC_20_EXT_PC4296_01.JPG
133,PC4297,,2112,B,SB,11.1,14.46,F,7,4,Mjoanes,GOJfall20_body_PC4297.JPG,CFAC_20_EXT_PC4297_01.JPG
134,PC4298,,2113,B,SB,10.9,15.75,F,7,5,Mjoanes,GOJfall20_body_PC4298.JPG,CFAC_20_EXT_PC4298_01.JPG
135,PC4299,,2114,B,SB,11.5,15.88,M,7,4,Mjoanes,GOJfall20_body_PC4299.JPG,CFAC_20_EXT_PC4299_01.JPG
136,PC4300,,2115,B,SB,10.9,13.76,M,7,3,Mjoanes,GOJfall20_body_PC4300.JPG,CFAC_20_EXT_PC4300_01.JPG
137,PC4308,,,B,LB,50.1,1195,M,6,9,Olafsdrattur,GOJfall20_body_PC4308.JPG,CFAC_21_EXT_PC4308_01.JPG
138,PC4309,,,B,LB,52.1,1420,M,7,15,Olafsdrattur,GOJfall20_body_PC4309.JPG,CFAC_21_EXT_PC4309_01.JPG
139,PC4310,,,B,LB,38.8,610,M,7,9,Olafsdrattur,GOJfall20_body_PC4310.JPG,CFAC_21_EXT_PC4310_01.JPG
140,PC4311,,,B,LB,44,995,F,7,9,Olafsdrattur,GOJfall20_body_PC4311.JPG,CFAC_21_EXT_PC4311_01.JPG
141,PC4312,,,B,LB,42.6,1080,F,7,8,Olafsdrattur,GOJfall20_body_PC4312.JPG,CFAC_21_EXT_PC4312_01.JPG
142,PC4313,,,B,LB,38.2,700,M,7,5,Olafsdrattur,GOJfall20_body_PC4313.JPG,CFAC_21_EXT_PC4313_01.JPG
143,PC4314,,,B,LB,45.1,1135,M,7,13,Olafsdrattur,GOJfall20_body_PC4314.JPG,CFAC_21_EXT_PC4314_01.JPG
144,PC4315,,,B,LB,49,1565,M,7,11,Olafsdrattur,GOJfall20_body_PC4315.JPG,CFAC_21_EXT_PC4315_01.JPG
145,PC4316,,,B,LB,49.8,1370,M,7,12,Olafsdrattur,GOJfall20_body_PC4316.JPG,CFAC_21_EXT_PC4316_01.JPG
146,PC4317,,,B,LB,43.8,1030,F,7,6,Olafsdrattur,GOJfall20_body_PC4317.JPG,CFAC_21_EXT_PC4317_01.JPG
147,PC4318,,,B,LB,36.3,545,M,7,8,Olafsdrattur,GOJfall20_body_PC4318.JPG,CFAC_21_EXT_PC4318_01.JPG
148,PC4319,,,B,LB,47.4,1085,F,7,8,Olafsdrattur,GOJfall20_body_PC4319.JPG,CFAC_21_EXT_PC4319_01.JPG
149,PC4320,,,B,LB,32.9,385,M,7,6,Olafsdrattur,GOJfall20_body_PC4320.JPG,CFAC_21_EXT_PC4320_01.JPG
150,PC4321,,,B,LB,30.8,320,M,7,7,Olafsdrattur,GOJfall20_body_PC4321.JPG,CFAC_21_EXT_PC4321_01.JPG
151,PC4322,,,B,LB,41.4,980,M,7,8,Olafsdrattur,GOJfall20_body_PC4322.JPG,CFAC_21_EXT_PC4322_01.JPG
152,PC4323,,,B,LB,41.7,920,F,7,8,Olafsdrattur,GOJfall20_body_PC4323.JPG,CFAC_21_EXT_PC4323_01.JPG
153,PC4324,,,B,LB,44,1040,M,7,9,Olafsdrattur,GOJfall20_body_PC4324.JPG,CFAC_21_EXT_PC4324_01.JPG
154,PC4325,,,B,LB,34,400,M,7,8,Olafsdrattur,GOJfall20_body_PC4325.JPG,CFAC_21_EXT_PC4325_01.JPG
155,PC4326,,,B,LB,39.9,780,M,7,8,Olafsdrattur,GOJfall20_body_PC4326.JPG,CFAC_21_EXT_PC4326_01.JPG
156,PC4327,,,B,LB,53,1935,M,7,9,Olafsdrattur,GOJfall20_body_PC4327.JPG,CFAC_21_EXT_PC4327_01.JPG
157,PC4328,,,B,LB,41.2,780,M,7,8,Olafsdrattur,GOJfall20_body_PC4328.JPG,CFAC_21_EXT_PC4328_01.JPG
158,PC4329,,,B,LB,35.4,670,M,7,7,Olafsdrattur,GOJfall20_body_PC4329.JPG,CFAC_21_EXT_PC4329_01.JPG
159,PC4330,,,B,LB,41.9,925,M,7,7,Olafsdrattur,GOJfall20_body_PC4330.JPG,CFAC_21_EXT_PC4330_01.JPG
160,PC4331,,,B,LB,40.8,800,F,7,11,Olafsdrattur,GOJfall20_body_PC4331.JPG,CFAC_21_EXT_PC4331_01.JPG
161,PC4332,,,B,LB,30.3,330,M,7,7,Olafsdrattur,GOJfall20_body_PC4332.JPG,CFAC_21_EXT_PC4332_01.JPG
