num,id_me,id_Hafro,id_marina,species,morph,length_cm,weight_g,sex,mat,age,location,old_image_name,new_image_name,teeth_den,teeth_max,teeth_pre,teeth_pal,teeth_vo,teeth_glos
33,PC3935,,2033,B,SB,10.4,11.87,M,1/2?,4,Olafsdrattur,GOJfall20_mand_PC3935_01.JPG,CFAC_20_MAN_PC3935_01.JPG,10.5,20,7,15,1,12
34,PC4301,,2147,B,PI,25,181.84,M,6,8,Mjoanes,GOJfall20_mand_PC4301_01.JPG,CFAC_20_MAN_PC4301_01.JPG,17.5,22.25,7.75,18.25,9,11.5
35,PC4302,,2162,B,PI,24.9,161.8,M,6,7,Mjoanes,GOJfall20_mand_PC4302_01.JPG,CFAC_20_MAN_PC4302_01.JPG,17.5,21.5,6.5,19.75,7,12
36,PC4303,,2169,B,PI,23.7,141.58,M,6,NA,Mjoanes,GOJfall20_mand_PC4303_01.JPG,CFAC_20_MAN_PC4303_01.JPG,16.5,22,7.25,17,5,11
37,PC4305,,2186,B,LB,37.1,543.07,M,7,6,Mjoanes,GOJfall20_mand_PC4305_01.JPG,CFAC_20_MAN_PC4305_01.JPG,14.5,22.5,6,18.75,5,13
38,PC4306,,2187,B,LB,34.2,550,M,7,6,Mjoanes,GOJfall20_mand_PC4306_01.JPG,CFAC_20_MAN_PC4306_01.JPG,13.25,20,5.75,14.75,2,11
39,PC4307,,2188,B,LB,50,1000,M,7,8,Mjoanes,GOJfall20_mand_PC4307_01.JPG,CFAC_20_MAN_PC4307_01.JPG,12.75,20.5,6.5,17.25,4.5,11
40,PC3831,KBL1,,B,LB,42.5,1061,F,2,8,Ofugsnaði,GOJfall20_mand_PC3831_01.JPG,CFAC_20_MAN_PC3831_01.JPG,11.25,21,7,18.25,4,11.5
41,PC3834,M3,,B,PL,15.6,37,M,4,5,Ofugsnaði,GOJfall20_mand_PC3834_01.JPG,CFAC_20_MAN_PC3834_01.JPG,13.25,19.5,7.75,12.25,5,12.5
42,PC3839,SBL2,,B,PI,42.8,1131,M,4,9,Ofugsnaði,GOJfall20_mand_PC3839_01.JPG,CFAC_20_MAN_PC3839_02.JPG,17.75,23.75,8,19.5,7.5,13
43,PC3840,KBL8,,B,LB,37.1,672,M,4,7,Ofugsnaði,GOJfall20_mand_PC3840_01.JPG,CFAC_20_MAN_PC3840_01.JPG,13.25,20,6.5,13.75,5,11
44,PC3841,SBL4,,B,PI,49.5,1714,M,4,9,Ofugsnaði,GOJfall20_mand_PC3841_01.JPG,CFAC_20_MAN_PC3841_02.JPG,21,22.75,8.5,20,8,13.5
45,PC3842,KBL10,,B,LB,42,1010,M,4,8,Ofugsnaði,GOJfall20_mand_PC3842_01.JPG,CFAC_20_MAN_PC3842_01.JPG,19.5,24.25,8.5,17,6,13.5
46,PC3843,KBL11,,B,LB,40.7,815,M,6,9,Ofugsnaði,GOJfall20_mand_PC3843_01.JPG,CFAC_20_MAN_PC3843_02.JPG,17.25,24.5,7.25,16.5,5,10
47,PC3844,KBL12,,B,LB,34.7,504,M,4,7,Ofugsnaði,GOJfall20_mand_PC3844_01.JPG,CFAC_20_MAN_PC3844_02.JPG,12,19.5,6,15,6,10
48,PC3845,SBL6,,B,PI,46.9,1455,M,6,11,Ofugsnaði,GOJfall20_mand_PC3845_01.JPG,CFAC_20_MAN_PC3845_02.JPG,17.75,23.75,8.25,23,6,13
49,PC3846,SBL7,,B,PI,43,990,M,6,9,Ofugsnaði,GOJfall20_mand_PC3846_01.JPG,CFAC_20_MAN_PC3846_01.JPG,NA,19.75,7.75,18.5,5,14.5
50,PC3847,SBL9,,B,PI,36.7,655,M,5,8,Ofugsnaði,GOJfall20_mand_PC3847_01.JPG,CFAC_20_MAN_PC3847_01.JPG,16.75,22.75,7.5,17.75,5,12
51,PC3848,SBL8,,B,PI,41.2,1001,M,6,9,Ofugsnaði,GOJfall20_mand_PC3848_01.JPG,CFAC_20_MAN_PC3848_02.JPG,16,21.25,6.5,18.25,4.5,9
52,PC3849,KBL14,,B,LB,33.8,362,F,7.2,7,Ofugsnaði,GOJfall20_mand_PC3849_01.JPG,CFAC_20_MAN_PC3849_02.JPG,15.25,25.25,7.5,17.5,4.5,13.5
53,PC3851,M6,,B,PL,22.3,130,M,5,9,Ofugsnaði,GOJfall20_mand_PC3851_01.JPG,CFAC_20_MAN_PC3851_01.JPG,18.25,21.25,8.25,20,4,13
54,PC3855,M8,,B,PL,19.4,74,M,4,5,Ofugsnaði,GOJfall20_mand_PC3855_01.JPG,CFAC_20_MAN_PC3855_01.JPG,15.5,19,7.5,17,4,10
55,PC3859,M12,,B,PL,14.8,36,M,4,5,Ofugsnaði,GOJfall20_mand_PC3859_01.JPG,CFAC_20_MAN_PC3859_01.JPG,14.25,19.75,7.5,16,2,12.5
56,PC3863,M17,,B,PL,14,33,M,4,4,Ofugsnaði,GOJfall20_mand_PC3863_01.JPG,CFAC_20_MAN_PC3863_01.JPG,13.75,19.5,8,16.25,3.5,11.5
57,PC3864,SBL10,,B,PI,45,1078,M,6,9,Ofugsnaði,GOJfall20_mand_PC3864_01.JPG,CFAC_20_MAN_PC3864_02.JPG,20.25,22.25,7.75,19.75,5,12
58,PC3865,SBL11,,B,PI,24.5,162,M,6,7,Ofugsnaði,GOJfall20_mand_PC3865_01.JPG,CFAC_20_MAN_PC3865_01.JPG,18,20.25,8.25,19,4.5,12
59,PC3867,KBL16,,B,LB,24.5,145,F,7.2,NA,Ofugsnaði,GOJfall20_mand_PC3867_01.JPG,CFAC_20_MAN_PC3867_01.JPG,14.75,24,8.5,17.25,7,11.5
60,PC3868,KBL17,,B,LB,34.2,430,F,7.2,6,Ofugsnaði,GOJfall20_mand_PC3868_01.JPG,CFAC_20_MAN_PC3868_01.JPG,16.5,21.25,7,19,3,10
61,PC3870,M21,,B,PL,20.5,81,F,5,7,Ofugsnaði,GOJfall20_mand_PC3870_01.JPG,CFAC_20_MAN_PC3870_01.JPG,17,18.5,7.75,19.5,5,11.5
62,PC3873,M27,,B,PL,18.5,65,M,4,5,Ofugsnaði,GOJfall20_mand_PC3873_01.JPG,CFAC_20_MAN_PC3873_01.JPG,16.5,19,6,16.75,6.5,13
63,PC3875,M29,,B,PL,21,103,M,4,5,Ofugsnaði,GOJfall20_mand_PC3875_01.JPG,CFAC_20_MAN_PC3875_01.JPG,15.75,20.5,7.5,16.25,4,13
64,PC3876,M30,,B,PL,18.8,74,F,5,5,Ofugsnaði,GOJfall20_mand_PC3876_01.JPG,CFAC_20_MAN_PC3876_01.JPG,14.75,18.75,8,14.5,4,12.5
65,PC3885,M31,,B,PL,19.1,72,M,6,5,Ofugsnaði,GOJfall20_mand_PC3885_01.JPG,CFAC_20_MAN_PC3885_02.JPG,15.75,20.5,6.5,15.66666667,3,12
66,PC3896,SBL14,,B,PI,32.8,420,M,6,7,Ofugsnaði,GOJfall20_mand_PC3896_01.JPG,CFAC_20_MAN_PC3896_01.JPG,18.25,21.25,8,17,5,13
67,PC3898,SBL16,,B,PI,45.6,1246,M,6,10,Ofugsnaði,GOJfall20_mand_PC3898_01.JPG,CFAC_20_MAN_PC3898_02.JPG,19,23.25,8.5,20,7,13
68,PC3899,KBL22,,B,LB,48.7,1420,F,6,9,Ofugsnaði,GOJfall20_mand_PC3899_01.JPG,CFAC_20_MAN_PC3899_02.JPG,17,24,10,19,5,12
69,PC3900,SBL18,,B,PI,42.3,1091,F,5,8,Ofugsnaði,GOJfall20_mand_PC3900_01.JPG,CFAC_20_MAN_PC3900_01.JPG,18,23,7.5,18.5,7,14
70,PC3901,SBL19,,B,PI,32.6,396,M,6,8,Ofugsnaði,GOJfall20_mand_PC3901_01.JPG,CFAC_20_MAN_PC3901_01.JPG,14.75,24.5,8.5,17.5,5,11.5
71,PC3902,SBL21,,B,PI,57.3,2894,M,5,10,Ofugsnaði,GOJfall20_mand_PC3902_01.JPG,CFAC_20_MAN_PC3902_02.JPG,16.5,24.75,7,19.5,5,12
72,PC4200,,,B,PL,12.3,22.18,M,6,5,Svinnanes,GOJfall20_mand_PC4200_01.JPG,CFAC_20_MAN_PC4200_02.JPG,14.5,19,7.5,15,3,12.5
73,PC4201,,,B,PL,14,29.18,M,4,5,Svinnanes,GOJfall20_mand_PC4201_01.JPG,CFAC_20_MAN_PC4201_02.JPG,15.75,21,7.75,16.75,4,13
74,PC4202,,,B,PL,13.7,31.74,M,5,5,Svinnanes,GOJfall20_mand_PC4202_01.JPG,CFAC_20_MAN_PC4202_01.JPG,12.5,19.75,8.25,16.25,NA,10
75,PC4203,,,B,PL,15,38.61,M,7,5,Svinnanes,GOJfall20_mand_PC4203_01.JPG,CFAC_20_MAN_PC4203_01.JPG,14.25,20.25,7.75,15.25,6.5,12.5
76,PC4204,,,B,PL,13.4,26.01,M,5,5,Svinnanes,GOJfall20_mand_PC4204_01.JPG,CFAC_20_MAN_PC4204_01.JPG,15.75,19.5,7.5,20.25,6,12
77,PC4205,,,B,PL,13.6,29.49,M,4,4,Svinnanes,GOJfall20_mand_PC4205_01.JPG,CFAC_20_MAN_PC4205_01.JPG,14,19.5,8,14,4,12.5
78,PC4206,,,B,PL,13.3,25.06,M,6,4,Svinnanes,GOJfall20_mand_PC4206_01.JPG,CFAC_20_MAN_PC4206_02.JPG,12.25,17.5,8.25,17.25,3,13
79,PC4207,,,B,PL,13.6,29.32,M,6,4,Svinnanes,GOJfall20_mand_PC4207_01.JPG,CFAC_20_MAN_PC4207_01.JPG,13,16.75,7.5,14,NA,12.5
80,PC4208,,,B,PL,14.7,37.35,M,6,4,Svinnanes,GOJfall20_mand_PC4208_01.JPG,CFAC_20_MAN_PC4208_01.JPG,15,20.5,7.75,15,3.5,12.5
81,PC4209,,,B,PL,14,30.39,M,6,NA,Svinnanes,GOJfall20_mand_PC4209_01.JPG,CFAC_20_MAN_PC4209_01.JPG,14,18.5,6.5,15.25,NA,11
82,PC4210,,,B,PL,17,52.56,M,6,5,Svinnanes,GOJfall20_mand_PC4210_01.JPG,CFAC_20_MAN_PC4210_01.JPG,14.5,17.75,6,15.25,1,12
83,PC4211,,,B,PL,15.6,39.25,M,5,4,Svinnanes,GOJfall20_mand_PC4211_01.JPG,CFAC_20_MAN_PC4211_01.JPG,13.25,15,7.25,14,5,11
84,PC4212,,,B,PL,13.4,25.34,M,5,5,Svinnanes,GOJfall20_mand_PC4212_01.JPG,CFAC_20_MAN_PC4212_01.JPG,15.25,18.75,8.25,17.25,3,13
85,PC4213,,,B,PL,14.4,33.98,M,6,4,Svinnanes,GOJfall20_mand_PC4213_01.JPG,CFAC_20_MAN_PC4213_01.JPG,14,18.25,7.25,15.5,3,12
86,PC4214,,,B,PL,12,20.83,M,6,5,Svinnanes,GOJfall20_mand_PC4214_01.JPG,CFAC_20_MAN_PC4214_01.JPG,13,18,6.75,15,3,13
87,PC4215,,,B,PL,17,51.2,M,6,5,Svinnanes,GOJfall20_mand_PC4215_01.JPG,CFAC_20_MAN_PC4215_02.JPG,16,21.25,6.5,16,3.5,11.5
88,PC4216,,,B,PL,16.1,48.79,M,6,4,Svinnanes,GOJfall20_mand_PC4216_01.JPG,CFAC_20_MAN_PC4216_01.JPG,14.75,18.25,7,17,5.5,12.5
89,PC4217,,,B,PL,15.2,42.11,M,5,5,Svinnanes,GOJfall20_mand_PC4217_01.JPG,CFAC_20_MAN_PC4217_01.JPG,14.5,18.5,6,14.75,4.5,12
90,PC4218,,,B,PL,17.5,61.78,M,6,5,Svinnanes,GOJfall20_mand_PC4218_01.JPG,CFAC_20_MAN_PC4218_01.JPG,16,18.75,7,14.75,NA,12
91,PC4219,,2034,B,SB,10.5,20.71,M,6,4,Mjoanes,GOJfall20_mand_PC4219_01.JPG,CFAC_20_MAN_PC4219_01.JPG,12,15.75,6.25,13.5,4,8.5
92,PC4220,,2035,B,SB,14.2,21.42,M,6,3,Mjoanes,GOJfall20_mand_PC4220_01.JPG,CFAC_20_MAN_PC4220_01.JPG,12,16.75,6.25,15,4,10
93,PC4221,,2037,B,SB,20.8,102.75,F,4,6,Mjoanes,GOJfall20_mand_PC4221_01.JPG,CFAC_20_MAN_PC4221_01.JPG,14,22.25,7.5,16.75,5,11.5
94,PC4222,,2038,B,SB,14.1,32.86,M,6,8,Mjoanes,GOJfall20_mand_PC4222_01.JPG,CFAC_20_MAN_PC4222_02.JPG,13,19.5,7,15.75,5,11
95,PC4223,,2039,B,SB,14.3,31.8,F,7/6?,8,Mjoanes,GOJfall20_mand_PC4223_01.JPG,CFAC_20_MAN_PC4223_01.JPG,13.25,17.75,7.75,15.5,4,9
96,PC4224,,2040,B,SB,14.5,34.05,M,6,5,Mjoanes,GOJfall20_mand_PC4224_01.JPG,CFAC_20_MAN_PC4224_01.JPG,12.5,NA,7.5,18,3,11
97,PC4225,,2041,B,SB,16,44.77,F,6,4,Mjoanes,GOJfall20_mand_PC4225_01.JPG,CFAC_20_MAN_PC4225_01.JPG,13.75,18.5,7.5,19.75,4,12.5
98,PC4226,,2042,B,SB,11.9,14.48,F,7,5,Mjoanes,GOJfall20_mand_PC4226_01.JPG,CFAC_20_MAN_PC4226_01.JPG,12.75,15,7,13.75,3,12
99,PC4227,,2043,B,SB,13.6,27.99,M,6,5,Mjoanes,GOJfall20_mand_PC4227_01.JPG,CFAC_20_MAN_PC4227_01.JPG,15,20,8,15.5,5,11
100,PC4228,,2044,B,SB,20.2,103.34,F,7?,6,Mjoanes,GOJfall20_mand_PC4228_01.JPG,CFAC_20_MAN_PC4228_01.JPG,13.25,18,8.25,15.5,4,10
101,PC4229,,2045,B,SB,17,71.77,F,5,8,Mjoanes,GOJfall20_mand_PC4229_01.JPG,CFAC_20_MAN_PC4229_01.JPG,12.25,17,7,14,2.5,11
102,PC4230,,2046,B,SB,14.2,32.22,F,5,6,Mjoanes,GOJfall20_mand_PC4230_01.JPG,CFAC_20_MAN_PC4230_01.JPG,12,19,7,14.75,2,10.5
103,PC4231,,2047,B,PL,14.3,27.2,M,6,6,Mjoanes,GOJfall20_mand_PC4231_01.JPG,CFAC_20_MAN_PC4231_01.JPG,12.75,15.5,6.75,15.25,2,11
104,PC4232,,2048,B,SB,24.2,147.58,F,7,6,Mjoanes,GOJfall20_mand_PC4232_01.JPG,CFAC_20_MAN_PC4232_01.JPG,13.75,16.5,8,14.5,4,11
105,PC4233,,2049,B,SB,11,15.55,M,6,12,Mjoanes,GOJfall20_mand_PC4233_01.JPG,CFAC_20_MAN_PC4233_01.JPG,12.5,15,7.5,15,2,9.5
106,PC4235,,2036,B,SB,13.4,24.9,F,7/6?,5,Mjoanes,GOJfall20_mand_PC4235_01.JPG,CFAC_20_MAN_PC4235_01.JPG,13,17.5,7.75,16,4,12
107,PC4236,,2051,B,LB,50,1430,F,7,8,Mjoanes,GOJfall20_mand_PC4236_01.JPG,CFAC_20_MAN_PC4236_01.JPG,18.5,23,9,17.25,2,13.5
108,PC4237,,2052,B,PI,43.2,980,F,7,12,Mjoanes,GOJfall20_mand_PC4237_01.JPG,CFAC_20_MAN_PC4237_01.JPG,19.5,25,7.5,21,6.5,15
109,PC4238,,2053,B,PI,50,1795,M,6,8,Mjoanes,GOJfall20_mand_PC4238_01.JPG,CFAC_20_MAN_PC4238_01.JPG,19,23,8,17,7,11.5
110,PC4239,,2054,B,LB,43.4,995,M,7,8,Mjoanes,GOJfall20_mand_PC4239_01.JPG,CFAC_20_MAN_PC4239_02.JPG,13.5,20.5,7,17.25,5,11
111,PC4240,,2055,B,PI,41,780,F,7,9,Mjoanes,GOJfall20_mand_PC4240_01.JPG,CFAC_20_MAN_PC4240_02.JPG,16.25,18.75,7.25,15.5,5.5,11
112,PC4241,,2056,B,PI,35.6,490,F,7,12,Mjoanes,GOJfall20_mand_PC4241_01.JPG,CFAC_20_MAN_PC4241_01.JPG,15.25,18.25,8.25,16,4.5,12.5
113,PC4242,,2057,B,PI,33,425,M,5,9,Mjoanes,GOJfall20_mand_PC4242_01.JPG,CFAC_20_MAN_PC4242_01.JPG,16.75,23.25,7,19,5.5,13
114,PC4243,,2058,B,PI,36,565,M,6,12,Mjoanes,GOJfall20_mand_PC4243_01.JPG,CFAC_20_MAN_PC4243_01.JPG,16.75,21.75,8,18.5,5.5,14.5
115,PC4244,,2059,B,LB,32,345,M,5,4,Mjoanes,GOJfall20_mand_PC4244_01.JPG,CFAC_20_MAN_PC4244_01.JPG,14,21,7.75,19.25,5.5,10
116,PC4245,,2060,B,PI,27.2,245,M,5,12,Mjoanes,GOJfall20_mand_PC4245_01.JPG,CFAC_20_MAN_PC4245_01.JPG,16,25,8.75,15.25,NA,14.5
117,PC4246,,2061,B,SB,29.7,285,F,7?,5,Mjoanes,GOJfall20_mand_PC4246_01.JPG,CFAC_20_MAN_PC4246_01.JPG,15.25,18.5,8.25,15.5,5,11.5
118,PC4247,,2062,B,PL,29.9,270,F,7,7,Mjoanes,GOJfall20_mand_PC4247_01.JPG,CFAC_20_MAN_PC4247_01.JPG,16,18.75,7.25,20,5,13
119,PC4248,,2063,B,PL,26,180,F,7,7,Mjoanes,GOJfall20_mand_PC4248_01.JPG,CFAC_20_MAN_PC4248_01.JPG,16.5,17.5,7.25,17.25,4.5,12
120,PC4249,,2064,B,PI,47,1150,F,7,11,Mjoanes,GOJfall20_mand_PC4249_01.JPG,CFAC_20_MAN_PC4249_01.JPG,17.5,21,7.25,19.5,5,9
121,PC4250,,2065,B,PI,45,905,F,7,7,Mjoanes,GOJfall20_mand_PC4250_01.JPG,CFAC_20_MAN_PC4250_01.JPG,16.25,23.5,7.5,16.5,3,13
122,PC4251,,2066,B,PI,42.9,945,F,7,8,Mjoanes,GOJfall20_mand_PC4251_01.JPG,CFAC_20_MAN_PC4251_01.JPG,15.75,22,7.5,19,5,14
123,PC4252,,2067,B,PI,32.8,430,M,6,7,Mjoanes,GOJfall20_mand_PC4252_01.JPG,CFAC_20_MAN_PC4252_01.JPG,14.25,19.75,7.75,17,5.5,11.5
124,PC4253,,2068,B,PI,31,360,F,6,7,Mjoanes,GOJfall20_mand_PC4253_01.JPG,CFAC_20_MAN_PC4253_01.JPG,14.5,22.5,7.75,17.75,6,12
125,PC4254,,2069,B,PI,31.5,340,F,7,10,Mjoanes,GOJfall20_mand_PC4254_01.JPG,CFAC_20_MAN_PC4254_01.JPG,16.5,24.75,8.25,18.5,5.5,11.5
126,PC4255,,2070,B,PI,34.4,375,F,7,7,Mjoanes,GOJfall20_mand_PC4255_01.JPG,CFAC_20_MAN_PC4255_01.JPG,15.25,23,8,18.5,6,13.5
127,PC4256,,2071,B,PI,28.9,265,M,6,8,Mjoanes,GOJfall20_mand_PC4256_01.JPG,CFAC_20_MAN_PC4256_01.JPG,14.5,19.75,6.5,15.75,5.5,11
128,PC4257,,2072,B,PI,29.6,265,M,5,7,Mjoanes,GOJfall20_mand_PC4257_01.JPG,CFAC_20_MAN_PC4257_01.JPG,16.5,21.25,7.5,19.25,4.5,13.5
129,PC4258,,2073,B,PI,30,240,F,7,8,Mjoanes,GOJfall20_mand_PC4258_01.JPG,CFAC_20_MAN_PC4258_01.JPG,18.75,21,6.75,19.5,6,16
130,PC4259,,2074,B,SB,29.4,265,F,7,5,Mjoanes,GOJfall20_mand_PC4259_01.JPG,CFAC_20_MAN_PC4259_01.JPG,11.5,20.5,7.5,15.5,7.5,10
131,PC4260,,2075,B,PL,24,160,M,3,6,Mjoanes,GOJfall20_mand_PC4260_01.JPG,CFAC_20_MAN_PC4260_01.JPG,13,20,7.25,17.5,5,12.5
132,PC4261,,2076,B,PL,25.8,155,F,7,7,Mjoanes,GOJfall20_mand_PC4261_01.JPG,CFAC_20_MAN_PC4261_01.JPG,17.5,18,7.75,19.5,6.5,14
133,PC4263,,2078,B,PL,26.4,185,F,7,8,Mjoanes,GOJfall20_mand_PC4263_01.JPG,CFAC_20_MAN_PC4263_01.JPG,15.5,19.75,7.75,19.25,5,14
134,PC4264,,2079,B,PL,22,125,M,5,6,Mjoanes,GOJfall20_mand_PC4264_01.JPG,CFAC_20_MAN_PC4264_01.JPG,15.5,20,8,17,NA,10
135,PC4266,,2081,B,PL,25,160,F,7,7,Mjoanes,GOJfall20_mand_PC4266_01.JPG,CFAC_20_MAN_PC4266_01.JPG,17.25,22.25,7.5,20.25,5,13
136,PC4267,,2082,B,PL,27.1,200,F,7,11,Mjoanes,GOJfall20_mand_PC4267_01.JPG,CFAC_20_MAN_PC4267_01.JPG,17.5,22,7.5,17,NA,14
137,PC4268,,2083,B,SB,22,98.33,F,2,6,Mjoanes,GOJfall20_mand_PC4268_01.JPG,CFAC_20_MAN_PC4268_01.JPG,15,19.75,8,15.75,4,12.5
138,PC4269,,2084,B,SB,22.5,113.25,M,6,8,Mjoanes,GOJfall20_mand_PC4269_01.JPG,CFAC_20_MAN_PC4269_01.JPG,11.75,18.75,6.5,15,3,9
139,PC4270,,2085,B,SB,21.9,111.02,F,7,7,Mjoanes,GOJfall20_mand_PC4270_01.JPG,CFAC_20_MAN_PC4270_01.JPG,15.25,21.5,9.5,18,6,12
