num,id_me,id_Hafro,id_marina,species,morph,length_cm,weight_g,sex,mat,age,location,old_image_name,new_image_name,teeth_den,teeth_max,teeth_pre,teeth_pal,teeth_vo,teeth_glos
31,PC3933,,2031,B,SB,10.8,13.32,M,6,NA,Olafsdrattur,GOJfall20_mand_PC3933_02.JPG,CFAC_20_MAN_PC3933_02.JPG,11.5,19,6,14.5,4,12
32,PC3934,,2032,B,SB,11.1,14.32,M,5,4,Olafsdrattur,GOJfall20_mand_PC3934_02.JPG,CFAC_20_MAN_PC3934_02.JPG,10.75,17.75,7,14.25,3,14
33,PC3935,,2033,B,SB,10.4,11.87,M,1/2?,4,Olafsdrattur,GOJfall20_mand_PC3935_02.JPG,CFAC_20_MAN_PC3935_02.JPG,10.5,20,7,15,1,12
34,PC4301,,2147,B,PI,25,181.84,M,6,8,Mjoanes,GOJfall20_mand_PC4301_02.JPG,CFAC_20_MAN_PC4301_02.JPG,17.5,22.25,7.75,18.25,9,11.5
35,PC4302,,2162,B,PI,24.9,161.8,M,6,7,Mjoanes,GOJfall20_mand_PC4302_02.JPG,CFAC_20_MAN_PC4302_02.JPG,17.5,21.5,6.5,19.75,7,12
36,PC4303,,2169,B,PI,23.7,141.58,M,6,NA,Mjoanes,GOJfall20_mand_PC4303_02.JPG,CFAC_20_MAN_PC4303_02.JPG,16.5,22,7.25,17,5,11
37,PC4305,,2186,B,LB,37.1,543.07,M,7,6,Mjoanes,GOJfall20_mand_PC4305_02.JPG,CFAC_20_MAN_PC4305_02.JPG,14.5,22.5,6,18.75,5,13
38,PC4306,,2187,B,LB,34.2,550,M,7,6,Mjoanes,GOJfall20_mand_PC4306_02.JPG,CFAC_20_MAN_PC4306_02.JPG,13.25,20,5.75,14.75,2,11
39,PC4307,,2188,B,LB,50,1000,M,7,8,Mjoanes,GOJfall20_mand_PC4307_02.JPG,CFAC_20_MAN_PC4307_02.JPG,12.75,20.5,6.5,17.25,4.5,11
40,PC3831,KBL1,,B,LB,42.5,1061,F,2,8,Ofugsnaði,GOJfall20_mand_PC3831_02.JPG,CFAC_20_MAN_PC3831_03.JPG,11.25,21,7,18.25,4,11.5
41,PC3834,M3,,B,PL,15.6,37,M,4,5,Ofugsnaði,GOJfall20_mand_PC3834_02.JPG,CFAC_20_MAN_PC3834_03.JPG,13.25,19.5,7.75,12.25,5,12.5
42,PC3839,SBL2,,B,PI,42.8,1131,M,4,9,Ofugsnaði,GOJfall20_mand_PC3839_01.JPG,CFAC_20_MAN_PC3839_02.JPG,17.75,23.75,8,19.5,7.5,13
43,PC3840,KBL8,,B,LB,37.1,672,M,4,7,Ofugsnaði,GOJfall20_mand_PC3840_03.JPG,CFAC_20_MAN_PC3840_02.JPG,13.25,20,6.5,13.75,5,11
44,PC3841,SBL4,,B,PI,49.5,1714,M,4,9,Ofugsnaði,GOJfall20_mand_PC3841_01.JPG,CFAC_20_MAN_PC3841_02.JPG,21,22.75,8.5,20,8,13.5
45,PC3842,KBL10,,B,LB,42,1010,M,4,8,Ofugsnaði,GOJfall20_mand_PC3842_03.JPG,CFAC_20_MAN_PC3842_02.JPG,19.5,24.25,8.5,17,6,13.5
46,PC3843,KBL11,,B,LB,40.7,815,M,6,9,Ofugsnaði,GOJfall20_mand_PC3843_01.JPG,CFAC_20_MAN_PC3843_02.JPG,17.25,24.5,7.25,16.5,5,10
47,PC3844,KBL12,,B,LB,34.7,504,M,4,7,Ofugsnaði,GOJfall20_mand_PC3844_01.JPG,CFAC_20_MAN_PC3844_02.JPG,12,19.5,6,15,6,10
48,PC3845,SBL6,,B,PI,46.9,1455,M,6,11,Ofugsnaði,GOJfall20_mand_PC3845_01.JPG,CFAC_20_MAN_PC3845_02.JPG,17.75,23.75,8.25,23,6,13
49,PC3847,SBL9,,B,PI,36.7,655,M,5,8,Ofugsnaði,GOJfall20_mand_PC3847_02.JPG,CFAC_20_MAN_PC3847_02.JPG,16.75,22.75,7.5,17.75,5,12
50,PC3848,SBL8,,B,PI,41.2,1001,M,6,9,Ofugsnaði,GOJfall20_mand_PC3848_01.JPG,CFAC_20_MAN_PC3848_02.JPG,16,21.25,6.5,18.25,4.5,9
51,PC3849,KBL14,,B,LB,33.8,362,F,7.2,7,Ofugsnaði,GOJfall20_mand_PC3849_01.JPG,CFAC_20_MAN_PC3849_02.JPG,15.25,25.25,7.5,17.5,4.5,13.5
52,PC3851,M6,,B,PL,22.3,130,M,5,9,Ofugsnaði,GOJfall20_mand_PC3851_02.JPG,CFAC_20_MAN_PC3851_02.JPG,18.25,21.25,8.25,20,4,13
53,PC3855,M8,,B,PL,19.4,74,M,4,5,Ofugsnaði,GOJfall20_mand_PC3855_02.JPG,CFAC_20_MAN_PC3855_02.JPG,15.5,19,7.5,17,4,10
54,PC3859,M12,,B,PL,14.8,36,M,4,5,Ofugsnaði,GOJfall20_mand_PC3859_02.JPG,CFAC_20_MAN_PC3859_02.JPG,14.25,19.75,7.5,16,2,12.5
55,PC3863,M17,,B,PL,14,33,M,4,4,Ofugsnaði,GOJfall20_mand_PC3863_02.JPG,CFAC_20_MAN_PC3863_02.JPG,13.75,19.5,8,16.25,3.5,11.5
56,PC3864,SBL10,,B,PI,45,1078,M,6,9,Ofugsnaði,GOJfall20_mand_PC3864_01.JPG,CFAC_20_MAN_PC3864_02.JPG,20.25,22.25,7.75,19.75,5,12
